,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
308,lorengau,61,PG,1650845389,70,-2.0226,147.2712,84.43,8.43
309,lazaro cardenas,51,DO,1650845389,68,19.4558,-71.3261,75.0,8.84
310,sakaiminato,13,JP,1650845390,76,35.55,133.2333,65.44,1.88
311,zagan,100,PL,1650845390,93,51.6176,15.3149,47.61,12.33
312,turbat,0,PK,1650845391,58,26.0023,63.044,78.76,2.35
313,aitape,85,PG,1650845391,79,-3.1374,142.3475,82.13,3.91
314,ebeltoft,13,DK,1650845391,81,56.1944,10.6821,43.75,2.3
315,berdigestyakh,86,RU,1650845392,84,62.0989,126.6992,23.47,5.06
316,kudahuvadhoo,97,MV,1650845392,70,2.6708,72.8944,84.43,7.58
317,impfondo,84,CG,1650845392,89,1.6381,18.0667,72.05,0.78
318,hervey bay,31,US,1650845393,71,33.4982,-93.7771,81.05,9.17
319,cherskiy,98,RU,1650845393,83,68.75,161.3,20.66,6.69
320,batsfjord,100,NO,1650845393,93,70.6345,29.7185,33.58,4.61
321,kato mazarakion,22,JP,1650845394,71,34.9305,135.0078,68.34,2.98
322,zaragoza,20,ES,1650845394,71,41.6561,-0.8773,57.02,7.0
323,ixtapa,0,MX,1650845394,73,20.7,-105.2,77.23,10.36
324,videira,2,BR,1650845394,95,-27.0083,-51.1517,59.67,3.15
325,puerto colombia,0,ES,1650845395,90,36.5939,-6.233,57.34,3.44
326,morros,100,BR,1650845395,74,-9.4467,-46.3003,74.28,1.3
327,kandalaksha,96,RU,1650845395,96,67.162,32.4123,30.31,2.37
328,kaka,86,TM,1650845396,54,37.3482,59.6143,66.83,3.22
329,sonqor,99,IR,1650845396,62,34.7837,47.6004,52.79,4.59
330,olinda,82,BR,1650845396,80,-8.0089,-34.8553,79.25,12.08
331,nchelenge,100,ZM,1650845397,90,-9.3451,28.734,68.81,6.13
332,pokrovka,88,KG,1650845398,66,42.3414,78.0056,48.27,2.33
333,nuuk,100,GL,1650845245,100,64.1835,-51.7216,30.81,4.61
334,ketchikan,100,US,1650845387,95,55.3422,-131.6461,44.58,5.14
335,kazerun,98,IR,1650845399,26,29.6195,51.6541,72.66,1.63
336,ostrovnoy,100,RU,1650845399,96,68.0531,39.5131,34.2,11.7
337,kloulklubed,97,PW,1650845399,78,7.0419,134.2556,81.73,11.65
338,iringa,97,TZ,1650845400,96,-7.7667,35.7,57.16,4.38
339,poli,87,TZ,1650845400,97,-3.3333,36.8,60.1,2.1
340,slonim,78,BY,1650845400,92,53.0867,25.3219,43.0,5.08
341,houma,75,US,1650845401,80,29.5958,-90.7195,80.01,10.36
342,laredo,100,US,1650845163,46,27.5064,-99.5075,93.45,20.71
343,kathu,60,TH,1650845401,79,7.9178,98.3332,78.62,7.02
344,hami,85,CN,1650845401,40,42.8,93.45,59.47,16.17
345,asau,94,RO,1650845403,95,46.4333,26.4,54.52,5.03
346,taltal,9,CL,1650845403,82,-25.4,-70.4833,63.61,3.44
347,aleksandrovsk,94,RU,1650845404,72,59.158,57.5624,38.8,3.58
348,carinhanha,21,BR,1650845404,45,-14.3047,-43.765,78.44,6.35
349,gao,0,ML,1650845405,8,16.6362,1.637,81.63,11.81
350,coquimbo,100,CL,1650845405,94,-29.9533,-71.3436,56.93,5.75
351,boksitogorsk,100,RU,1650845405,94,59.474,33.8485,39.6,9.01
352,torun,100,PL,1650845406,87,53.0137,18.5981,44.49,1.01
353,tecpan,91,GT,1650845406,90,14.7623,-90.9947,59.61,1.88
354,colares,40,PT,1650845406,75,38.7992,-9.4469,56.89,13.0
355,stuttgart,75,DE,1650845023,90,48.7823,9.177,49.77,3.44
356,salisbury,63,GB,1650845132,91,51.0693,-1.7957,48.69,8.77
357,yeniseysk,100,RU,1650845407,95,58.4497,92.1703,30.36,6.04
358,touros,98,BR,1650845340,88,-5.1989,-35.4608,77.13,9.75
359,vila,95,PT,1650845407,91,42.0304,-8.1588,41.88,3.2
360,huilong,100,CN,1650845408,95,31.8111,121.655,63.93,17.52
361,maceio,34,BR,1650845356,80,-9.6658,-35.7353,79.32,10.76
362,bonthe,100,SL,1650845408,89,7.5264,-12.505,74.75,5.39
363,wattegama,87,LK,1650845409,95,6.7989,81.4808,74.7,2.48
364,emerald,100,AU,1650845191,71,-23.5333,148.1667,66.34,19.24
365,dalbandin,29,PK,1650845409,22,28.8947,64.4101,76.55,3.83
366,russell,16,US,1650845330,68,32.3502,-85.1999,76.96,5.23
367,dekar,64,BW,1650845409,38,-21.5333,21.9333,69.69,7.76
